TITLE,RUNTIME,YEAR,MONTH,BUDGET,GENRE,PROD_COMPANY,IMDB_GOOD,IMDB_BAD,REVENUE
Get Hard,100,2015,MARCH,40000000,Comedy,Gary Sanchez Productions,NO,NO,111811453
Dumb and Dumber To,110,2014,NOVEMBER,40000000,Comedy,New Line Cinema,NO,NO,169837010
The Intern,121,2015,SEPTEMBER,35000000,Comedy,Waverly Films,YES,NO,194564672
Ride Along 2,102,2016,JANUARY,40000000,Action,Universal Pictures,NO,NO,124827316
The Other Woman,109,2014,APRIL,40000000,Comedy,Twentieth Century Fox Film Corporation,NO,NO,196781193
Bridge of Spies,141,2015,OCTOBER,40000000,Thriller,DreamWorks SKG,YES,NO,165478348
Horrible Bosses 2,108,2014,NOVEMBER,42000000,Comedy,New Line Cinema,NO,NO,107670357
Jersey Boys,134,2014,JUNE,40000000,Music,Warner Bros.,NO,NO,67347013
Sex Tape,97,2014,JULY,40000000,Comedy,Escape Artists,NO,NO,126069509
The Gunman,115,2015,FEBRUARY,40000000,Action,StudioCanal,NO,NO,13644292
Baahubali: The Beginning,159,2015,JULY,40000000,Action,Arka Media Works,YES,NO,100000000
Paul Blart: Mall Cop 2,94,2015,APRIL,38000000,Action,Columbia Pictures,NO,YES,107597242
The 5th Wave,112,2016,JANUARY,38000000,Adventure,Columbia Pictures,NO,NO,109906372
Creed,133,2015,NOVEMBER,37000000,Drama,New Line Cinema,YES,NO,173567581
How to Be Single,110,2016,JANUARY,38000000,Comedy,New Line Cinema,NO,NO,112343513
Dolphin Tale 2,107,2014,SEPTEMBER,36000000,Family,Alcon Entertainment,NO,NO,52424533
Aloha,105,2015,MAY,37000000,Drama,Scott Rudin Productions,NO,NO,26250020
Ip Man 3,105,2015,DECEMBER,36000000,Action,Mandarin Films Distribution Co.,NO,NO,156844753
Trainwreck,125,2015,JULY,35000000,Comedy,Universal Pictures,NO,NO,140795793
Neighbors 2: Sorority Rising,91,2016,MAY,35000000,Comedy,Universal Pictures,NO,NO,108758521
Heist,93,2015,NOVEMBER,8900000,Crime,Emmett/Furla Films,NO,NO,4100000
Concussion,123,2015,NOVEMBER,35000000,Drama,Columbia Pictures,YES,NO,50363790
Hot Pursuit,87,2015,MAY,35000000,Action,New Line Cinema,NO,NO,51680201
Sabotage,110,2014,MARCH,35000000,Action,Open Road Films,NO,NO,17508518
The Walk,123,2015,SEPTEMBER,35000000,Adventure,TriStar Pictures,NO,NO,61181942
The Maze Runner,113,2014,SEPTEMBER,34000000,Action,Ingenious Media,YES,NO,348319861
Unfinished Business,91,2015,MARCH,35000000,Comedy,Studio Babelsberg,NO,YES,14431253
The Longest Ride,128,2015,APRIL,34000000,Drama,Fox 2000 Pictures,YES,NO,63013281
Criminal,113,2016,APRIL,31500000,Action,Lionsgate,NO,NO,14708696
The Grand Budapest Hotel,99,2014,FEBRUARY,30000000,Comedy,Fox Searchlight Pictures,YES,NO,174600318
Vacation,99,2015,JULY,31000000,Comedy,New Line Cinema,NO,NO,104384188
Sicario,121,2015,SEPTEMBER,30000000,Action,Lionsgate,YES,NO,84025816
Southpaw,123,2015,JUNE,30000000,Action,Escape Artists,YES,NO,91709827
The Age of Adaline,112,2015,APRIL,25000000,Fantasy,Lakeshore Entertainment,YES,NO,65663276
Sausage Party,83,2016,JULY,19000000,Adventure,Columbia Pictures,NO,NO,140752617
Pitch Perfect 2,115,2015,MAY,29000000,Comedy,Universal Pictures,NO,NO,287506194
The Boss,91,2016,APRIL,29000000,Comedy,Universal Pictures,NO,NO,78636257
Straight Outta Compton,147,2015,OCTOBER,28000000,Drama,New Line Cinema,YES,NO,201634991
Florence Foster Jenkins,110,2016,MAY,29000000,Comedy,BBC Films,NO,NO,48902953
The Big Short,130,2015,DECEMBER,28000000,Comedy,Paramount Pictures,YES,NO,133346506
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,2014,OCTOBER,28000000,Family,Walt Disney Pictures,NO,NO,100654149
3 Days to Kill,113,2014,FEBRUARY,28000000,Action,Wonderland Sound and Vision,NO,NO,52597999
Our Brand Is Crisis,108,2015,SEPTEMBER,28000000,Comedy,Participant Media,NO,NO,7002261
Pride and Prejudice and Zombies,108,2016,FEBRUARY,28000000,Romance,Lionsgate,NO,NO,16374328
Brick Mansions,90,2014,APRIL,28000000,Action,Canal+,NO,NO,68896829
Money Monster,98,2016,MAY,27000000,Thriller,TriStar Pictures,NO,NO,93282604
A Walk Among the Tombstones,113,2014,SEPTEMBER,28000000,Crime,Double Feature Films,NO,NO,53181600
Self/less,116,2015,JULY,26000000,Science Fiction,Endgame Entertainment,NO,NO,30523226
The Best of Me,117,2014,OCTOBER,26000000,Drama,Relativity Media,YES,NO,35926213
Ride Along,99,2014,JANUARY,25000000,Action,Universal Pictures,NO,NO,153997819
Million Dollar Arm,124,2014,MAY,25000000,Drama,Walt Disney Pictures,NO,NO,38307627
The Giver,94,2014,OCTOBER,25000000,Drama,The Weinstein Company,NO,NO,66980456
The Gambler,111,2014,DECEMBER,25000000,Thriller,Paramount Pictures,NO,NO,39171130
Eddie the Eagle,106,2016,FEBRUARY,23000000,Comedy,Studio Babelsberg,YES,NO,46152800
Legend,131,2015,SEPTEMBER,25000000,Crime,Working Title Films,NO,NO,42972994
Draft Day,109,2014,APRIL,25000000,Drama,Summit Entertainment,NO,NO,28831145
The 33,120,2015,OCTOBER,25000000,Drama,Alcon Entertainment,NO,NO,24902723
Jane Got a Gun,98,2016,JANUARY,25000000,Action,Handsomecharlie Films,NO,NO,1397284
Think Like a Man Too,105,2014,JUNE,24000000,Comedy,Will Packer Productions,NO,NO,70181428
The Water Diviner,112,2014,DECEMBER,22500000,War,Hopscotch Features,NO,NO,15520023
The Hundred-Foot Journey,122,2014,OCTOBER,22000000,Drama,Amblin Entertainment,YES,NO,88880821
Son of God,138,2014,FEBRUARY,22000000,Drama,Hearst Entertainment Productions,NO,NO,67800064
"Hail, Caesar!",106,2016,FEBRUARY,22000000,Comedy,Universal Pictures,NO,NO,63647656
The Transporter Refueled,96,2015,SEPTEMBER,25000000,Thriller,EuropaCorp,NO,NO,72629670
Before I Go to Sleep,92,2014,SEPTEMBER,22000000,Mystery,StudioCanal,NO,NO,15447154
Tammy,97,2014,JULY,20000000,Comedy,New Line Cinema,NO,YES,100525432
Me Before You,110,2016,JUNE,20000000,Drama,New Line Cinema,YES,NO,207945075
Bad Moms,100,2016,JULY,20000000,Comedy,STX Entertainment,NO,NO,183936074
Selma,127,2014,DECEMBER,20000000,History,Plan B Entertainment,YES,NO,66787908
Max,111,2015,JUNE,20000000,Adventure,Sunswept Entertainment,NO,NO,43967255
Spotlight,128,2015,NOVEMBER,20000000,Drama,Universal Pictures,YES,NO,88346473
